,Unnamed: 0,French,English
0,1,chercher,search
1,2,seulement,only
2,3,pensais,thought
3,4,aide,help
4,7,frère,brother
5,8,laisser,let
6,10,mettre,to put
7,11,eux,them
8,12,parlé,speak
9,14,devrait,should
10,15,bébé,baby
11,16,longtemps,long time
12,19,pendant,while
13,20,revoir,meet again
14,21,aucune,any
15,22,place,square
16,24,compris,understood
17,25,savais,knew
18,26,étaient,were
19,30,type,type
20,33,façon,way
21,34,écoute,listen
22,35,dont,whose
23,37,première,first
24,38,côté,side
25,39,pouvoir,power
26,40,vieux,old
27,43,tellement,so much
28,45,venu,came
29,46,devant,in front of
30,47,vers,towards
31,48,minutes,minutes
32,50,belle,beautiful
33,51,droit,law
34,52,aimerais,would like to
35,53,aujourd'hui,today
36,54,mari,husband
37,56,enfin,finally
38,57,eau,water
39,58,boulot,job
40,59,arrêter,Stop
41,61,terre,Earth
42,62,loin,far
43,63,fin,end
44,64,chérie,sweetheart
45,65,gros,large
46,67,aura,will have
47,68,filles,girls
48,69,jouer,to play
49,70,bureau,office
